Environment,Method,Reward (mean ± std),Viol Rate,Mod Rate,Total Viol,Total Mod
CliffWalking-v1,CMDP,Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Post-hoc (Hard),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Post-hoc (Soft),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Pre-emptive (Hard),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Pre-emptive (Soft),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Layer (Hard),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Layer (Soft),Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Semantic Loss,Pending,Pending,Pending,Pending,Pending
CliffWalking-v1,PPO + Reward Shaping,Pending,Pending,Pending,Pending,Pending
CartPole-v1,CMDP,158.81 ± 39.03,0.0180 ± 0.0019,0.0000 ± 0.0000,279.2 ± 49.5,0.0 ± 0.0
CartPole-v1,PPO + Post-hoc (Hard),38.57 ± 10.20,0.0812 ± 0.0055,0.0812 ± 0.0055,308.8 ± 68.7,308.8 ± 68.7
CartPole-v1,PPO + Post-hoc (Soft),29.94 ± 4.81,0.0769 ± 0.0054,0.0614 ± 0.0050,229.4 ± 34.4,183.6 ± 31.3
CartPole-v1,PPO + Pre-emptive (Hard),90.59 ± 70.83,0.1039 ± 0.0485,0.1039 ± 0.0485,680.0 ± 566.8,680.0 ± 566.8
CartPole-v1,PPO + Pre-emptive (Soft),267.57 ± 63.08,0.0108 ± 0.0028,0.0086 ± 0.0020,278.0 ± 64.5,220.8 ± 51.0
CartPole-v1,PPO + Layer (Hard),290.20 ± 167.70,0.0126 ± 0.0177,0.0126 ± 0.0177,99.6 ± 46.8,99.6 ± 46.8
CartPole-v1,PPO + Layer (Soft),183.97 ± 52.29,0.0255 ± 0.0108,0.0202 ± 0.0088,495.8 ± 309.8,393.6 ± 251.3
CartPole-v1,PPO + Semantic Loss,186.85 ± 50.25,0.0281 ± 0.0143,0.0000 ± 0.0000,493.6 ± 242.2,0.0 ± 0.0
CartPole-v1,PPO + Reward Shaping,408.84 ± 67.73,0.0141 ± 0.0068,0.0000 ± 0.0000,538.0 ± 210.6,0.0 ± 0.0
